,story_id,para_index,tagged_sent,quote_in_para
0,13661,0,"[(u'The', u'DT'), (u'good', u'JJ'), (u'news', u'NN'), (u'started', u'VBD'), (u'with', u'IN'), (u'some', u'DT'), (u'wins', u'NNS'), (u'last', u'JJ'), (u'year', u'NN'), (u'.', u'.')]",0
1,13661,0,"[(u'A', u'DT'), (u'handful', u'NN'), (u'of', u'IN'), (u'beach', u'NN'), (u'lovers', u'NNS'), (u'and', u'CC'), (u'staff', u'NN'), (u'at', u'IN'), (u'McGrath', u'NNP'), (u'State', u'NNP'), (u'Beach', u'NNP'), (u'near', u'IN'), (u'Ventura', u'NNP'), (u'raised', u'VBD'), (u'half', u'PDT'), (u'a', u'DT'), (u'million', u'CD'), (u'dollars', u'NNS'), (u'for', u'IN'), (u'the', u'DT'), (u'new', u'JJ'), (u'sewage', u'NN'), (u'system', u'NN'), (u'that', u'WDT'), (u'is', u'VBZ'), (u'keeping', u'VBG'), (u'that', u'IN'), (u'park', u'NN'), (u'open', u'JJ'), (u'.', u'.')]",0
2,13661,0,"[(u'And', u'CC'), (u'a', u'DT'), (u'nonprofit', u'JJ'), (u',', u','), (u'the', u'DT'), (u'Coe', u'NNP'), (u'Park', u'NNP'), (u'Preservation', u'NNP'), (u'Fund', u'NNP'), (u',', u','), (u'raised', u'VBD'), (u'more', u'JJR'), (u'than', u'IN'), (u'a', u'DT'), (u'million', u'CD'), (u'dollars', u'NNS'), (u'to', u'TO'), (u'protect', u'VB'), (u'its', u'PRP$'), (u'namesake', u'NN'), (u'park', u'NN'), (u'near', u'IN'), (u'San', u'NNP'), (u'Jose', u'NNP'), (u'.', u'.')]",0
3,13661,1,"[(u'Institutional', u'JJ'), (u'neighbors', u'NNS'), (u'stepped', u'VBD'), (u'up', u'RB'), (u',', u','), (u'too', u'RB'), (u'.', u'.')]",0
4,13661,1,"[(u'The', u'DT'), (u'National', u'NNP'), (u'Park', u'NNP'), (u'Service', u'NNP'), (u'has', u'VBZ'), (u'pledged', u'VBN'), (u'to', u'TO'), (u'keep', u'VB'), (u'Tomales', u'NNP'), (u'Bay', u'NNP'), (u',', u','), (u'Samuel', u'NNP'), (u'P.', u'NNP'), (u'Taylor', u'NNP'), (u',', u','), (u'and', u'CC'), (u'Del', u'NNP'), (u'Norte', u'NNP'), (u'Coast', u'NNP'), (u'Redwoods', u'NNPS'), (u'state', u'NN'), (u'parks', u'NNS'), (u'open', u'JJ'), (u'for', u'IN'), (u'at', u'IN'), (u'least', u'JJS'), (u'a', u'DT'), (u'year', u'NN'), (u'.', u'.')]",0
5,13661,1,"[(u'Counties', u'NNS'), (u'and', u'CC'), (u'cities', u'NNS'), (u'have', u'VBP'), (u'offered', u'VBN'), (u'to', u'TO'), (u'provide', u'VB'), (u'services', u'NNS'), (u'at', u'IN'), (u'parks', u'NNS'), (u'within', u'IN'), (u'their', u'PRP$'), (u'borders', u'NNS'), (u'.', u'.')]",0
6,13661,2,"[(u'``', u'``'), (u'People', u'NNS'), (u'are', u'VBP'), (u'beginning', u'VBG'), (u'to', u'TO'), (u'be', u'VB'), (u'mobilized', u'VBN'), (u'in', u'IN'), (u'a', u'DT'), (u'way', u'NN'), (u'they', u'PRP'), (u'have', u'VBP'), (u""n't"", u'RB'), (u'before', u'RB'), (u',', u','), (u""''"", u""''""), (u'said', u'VBD'), (u'California', u'NNP'), (u'State', u'NNP'), (u'Parks', u'NNP'), (u'Foundation', u'NNP'), (u'president', u'NN'), (u'Elizabeth', u'NNP'), (u'Goldstein', u'NNP'), (u'.', u'.')]",1
7,13661,3,"[(u'At', u'IN'), (u'the', u'DT'), (u'same', u'JJ'), (u'time', u'NN'), (u',', u','), (u'promising', u'JJ'), (u'and', u'CC'), (u'dedicated', u'JJ'), (u'grassroots', u'NNS'), (u'leaders', u'NNS'), (u'have', u'VBP'), (u'emerged', u'VBN'), (u'.', u'.')]",1
8,13661,3,"[(u'To', u'TO'), (u'name', u'VB'), (u'a', u'DT'), (u'few', u'JJ'), (u':', u':'), (u'Greg', u'NNP'), (u'Hayes', u'NNP'), (u',', u','), (u'a', u'DT'), (u'former', u'JJ'), (u'state', u'NN'), (u'park', u'NN'), (u'superintendent', u'NN'), (u',', u','), (u'has', u'VBZ'), (u'forsaken', u'VBN'), (u'retirement', u'NN'), (u'to', u'TO'), (u'try', u'VB'), (u'to', u'TO'), (u'rescue', u'NN'), (u'Jack', u'NNP'), (u'London', u'NNP'), (u'Historic', u'JJ'), (u'State', u'NNP'), (u'Park', u'NNP'), (u';', u':'), (u'Kathy', u'NNP'), (u'Bailey', u'NNP'), (u',', u','), (u'a', u'DT'), (u'longtime', u'JJ'), (u'resident', u'NN'), (u'of', u'IN'), (u'Northern', u'NNP'), (u'California', u'NNP'), (u""'s"", u'POS'), (u'Anderson', u'NNP'), (u'Valley', u'NNP'), (u',', u','), (u'is', u'VBZ'), (u'devoting', u'VBG'), (u'her', u'PRP$'), (u'days', u'NNS'), (u'to', u'TO'), (u'working', u'VBG'), (u'with', u'IN'), (u'her', u'PRP$'), (u'neighbors', u'NNS'), (u'to', u'TO'), (u'keep', u'VB'), (u'Hendy', u'NNP'), (u'Woods', u'NNP'), (u'State', u'NNP'), (u'Park', u'NNP'), (u'open', u'JJ'), (u';', u':'), (u'Robert', u'NNP'), (u'Hanna', u'NNP'), (u',', u','), (u'not', u'RB'), (u'long', u'RB'), (u'ago', u'IN'), (u'a', u'DT'), (u'sales', u'JJ'), (u'manager', u'NN'), (u'in', u'IN'), (u'a', u'DT'), (u'financial', u'JJ'), (u'firm', u'NN'), (u',', u','), (u'has', u'VBZ'), (u'teamed', u'VBN'), (u'up', u'RP'), (u'with', u'IN'), (u'activists', u'NNS'), (u'at', u'IN'), (u'several', u'JJ'), (u'state', u'NN'), (u'parks', u'NNS'), (u'to', u'TO'), (u'``', u'``'), (u'do', u'VB'), (u'everything', u'NN'), (u'I', u'PRP'), (u'can', u'MD'), (u'to', u'TO'), (u'help', u'VB'), (u'keep', u'VB'), (u'parks', u'NNS'), (u'open', u'JJ'), (u'.', u'.'), (u""''"", u""''"")]",1
9,13661,3,"[(u'Perhaps', u'RB'), (u'Hanna', u'NNP'), (u'was', u'VBD'), (u'destined', u'VBN'), (u'to', u'TO'), (u'be', u'VB'), (u'a', u'DT'), (u'leader', u'NN'), (u';', u':'), (u'he', u'PRP'), (u'is', u'VBZ'), (u'John', u'NNP'), (u'Muir', u'NNP'), (u""'s"", u'POS'), (u'31-year-old', u'JJ'), (u'great-great', u'NN'), (u'grandson', u'NN'), (u'.', u'.')]",1
10,13661,3,"[(u'Somehow', u'RB'), (u'this', u'DT'), (u'crisis', u'NN'), (u'has', u'VBZ'), (u'led', u'VBN'), (u'him', u'PRP'), (u'and', u'CC'), (u'dozens', u'NNS'), (u'of', u'IN'), (u'other', u'JJ'), (u'Californians', u'NNPS'), (u'to', u'TO'), (u'a', u'DT'), (u'new', u'JJ'), (u'calling', u'NN'), (u':', u':'), (u'preserving', u'VBG'), (u'state', u'NN'), (u'parks', u'NNS'), (u'.', u'.')]",1
11,13661,4,"[(u'Inside', u'IN'), (u'and', u'CC'), (u'outside', u'IN'), (u'the', u'DT'), (u'bureaucracy', u'NN'), (u',', u','), (u'the', u'DT'), (u'crisis', u'NN'), (u'has', u'VBZ'), (u'highlighted', u'VBN'), (u'some', u'DT'), (u'not-so-new', u'JJ'), (u'ideas', u'NNS'), (u'.', u'.')]",0
12,13661,4,"[(u'At', u'IN'), (u'Samuel', u'NNP'), (u'P.', u'NNP'), (u'Taylor', u'NNP'), (u'State', u'NNP'), (u'Park', u'NNP'), (u',', u','), (u'in', u'IN'), (u'Marin', u'NNP'), (u',', u','), (u'supervising', u'VBG'), (u'ranger', u'NN'), (u'Rose', u'NNP'), (u'Blackburn', u'NNP'), (u'is', u'VBZ'), (u'reassessing', u'VBG'), (u'her', u'PRP$'), (u'use', u'NN'), (u'of', u'IN'), (u'volunteer', u'NN'), (u'campground', u'NN'), (u'hosts', u'NNS'), (u'.', u'.')]",0
13,13661,4,"[(u'In', u'IN'), (u'exchange', u'NN'), (u'for', u'IN'), (u'free', u'JJ'), (u'RV', u'NN'), (u'space', u'NN'), (u',', u','), (u'they', u'PRP'), (u'work', u'VBP'), (u'20', u'CD'), (u'hours', u'NNS'), (u'a', u'DT'), (u'week', u'NN'), (u'helping', u'VBG'), (u'park', u'NN'), (u'visitors', u'NNS'), (u'and', u'CC'), (u'handling', u'VBG'), (u'emergencies', u'NNS'), (u'.', u'.')]",0
14,13661,4,"[(u'In', u'IN'), (u'peak', u'JJ'), (u'season', u'NN'), (u',', u','), (u'she', u'PRP'), (u'now', u'RB'), (u'has', u'VBZ'), (u'two', u'CD'), (u'campground', u'NN'), (u'hosts', u'NNS'), (u'and', u'CC'), (u'may', u'MD'), (u'expand', u'VB'), (u'that', u'IN'), (u'to', u'TO'), (u'three', u'CD'), (u'or', u'CC'), (u'four', u'CD'), (u',', u','), (u'with', u'IN'), (u'one', u'CD'), (u'host', u'NN'), (u'concentrating', u'VBG'), (u'on', u'IN'), (u'maintenance', u'NN'), (u'.', u'.')]",0
15,13661,4,"[(u'One', u'CD'), (u'surefire', u'JJ'), (u'revenue', u'NN'), (u'enhancement', u'NN'), (u'at', u'IN'), (u'Taylor', u'NNP'), (u'is', u'VBZ'), (u'a', u'DT'), (u'new', u'JJ'), (u'lodging', u'NN'), (u'option', u'NN'), (u':', u':'), (u'five', u'CD'), (u'new', u'JJ'), (u'primitive', u'JJ'), (u'cabins', u'NNS'), (u'that', u'IN'), (u'she', u'PRP'), (u'hopes', u'VBZ'), (u'will', u'MD'), (u'be', u'VB'), (u'ready', u'JJ'), (u'for', u'IN'), (u'visitors', u'NNS'), (u'this', u'DT'), (u'summer', u'NN'), (u',', u','), (u'at', u'IN'), (u'$', u'$'), (u'100', u'CD'), (u'a', u'DT'), (u'night', u'NN'), (u'or', u'CC'), (u'so', u'RB'), (u'-LRB-', u'-LRB-'), (u'compared', u'VBN'), (u'with', u'IN'), (u'$', u'$'), (u'35', u'CD'), (u'for', u'IN'), (u'a', u'DT'), (u'campsite', u'NN'), (u'-RRB-', u'-RRB-'), (u'.', u'.')]",0
16,13661,5,"[(u'In', u'IN'), (u'the', u'DT'), (u'past', u'NN'), (u',', u','), (u'some', u'DT'), (u'parks', u'NNS'), (u'neglected', u'VBN'), (u'collecting', u'VBG'), (u'fees', u'NNS'), (u',', u','), (u'partly', u'RB'), (u'because', u'IN'), (u'the', u'DT'), (u'revenue', u'NN'), (u'went', u'VBD'), (u'to', u'TO'), (u'Sacramento', u'NNP'), (u'to', u'TO'), (u'be', u'VB'), (u'shared', u'VBN'), (u'among', u'IN'), (u'all', u'PDT'), (u'the', u'DT'), (u'parks', u'NNS'), (u'.', u'.')]",0
17,13661,5,"[(u'Now', u'RB'), (u'new', u'JJ'), (u'models', u'NNS'), (u'are', u'VBP'), (u'being', u'VBG'), (u'explored', u'VBN'), (u'.', u'.')]",0
18,13661,5,"[(u'At', u'IN'), (u'Mono', u'NN'), (u'Lake', u'NN'), (u'Tufa', u'NN'), (u'State', u'NNP'), (u'Natural', u'NNP'), (u'Reserve', u'NNP'), (u',', u','), (u'for', u'IN'), (u'example', u'NN'), (u',', u','), (u'the', u'DT'), (u'nonprofit', u'JJ'), (u'Bodie', u'NNP'), (u'Foundation', u'NNP'), (u'will', u'MD'), (u'collect', u'VB'), (u'a', u'DT'), (u'$', u'$'), (u'3', u'CD'), (u'parking', u'NN'), (u'fee', u'NN'), (u'to', u'TO'), (u'be', u'VB'), (u'invested', u'VBN'), (u'right', u'RB'), (u'back', u'RB'), (u'into', u'IN'), (u'Mono', u'NN'), (u'.', u'.')]",0
19,13661,6,"[(u'Save', u'VB'), (u'the', u'DT'), (u'Redwoods', u'NNP'), (u'League', u'NNP'), (u""'s"", u'POS'), (u'executive', u'JJ'), (u'director', u'NN'), (u'Ruskin', u'NNP'), (u'Hartley', u'NNP'), (u'said', u'VBD'), (u'basic', u'JJ'), (u'entry', u'NN'), (u'fees', u'NNS'), (u'to', u'TO'), (u'state', u'NN'), (u'parks', u'NNS'), (u'should', u'MD'), (u'be', u'VB'), (u'kept', u'VBN'), (u'low', u'JJ'), (u'to', u'TO'), (u'ensure', u'VB'), (u'people', u'NNS'), (u'can', u'MD'), (u'afford', u'VB'), (u'to', u'TO'), (u'visit', u'VB'), (u',', u','), (u'``', u'``'), (u'but', u'CC'), (u'that', u'DT'), (u'does', u'VBZ'), (u""n't"", u'RB'), (u'mean', u'VB'), (u'you', u'PRP'), (u'should', u'MD'), (u'pay', u'VB'), (u'the', u'DT'), (u'same', u'JJ'), (u'amount', u'NN'), (u'to', u'TO'), (u'camp', u'NN'), (u'on', u'IN'), (u'July', u'NNP'), (u'4th', u'JJ'), (u'as', u'IN'), (u'you', u'PRP'), (u'would', u'MD'), (u'on', u'IN'), (u'January', u'NNP'), (u'4th', u'JJ'), (u'.', u'.'), (u""''"", u""''"")]",1
20,13661,7,"[(u'In', u'IN'), (u'Sonoma', u'NNP'), (u',', u','), (u'the', u'DT'), (u'county', u'NN'), (u'parks', u'NNS'), (u'department', u'NN'), (u'and', u'CC'), (u'the', u'DT'), (u'nonprofit', u'JJ'), (u'organization', u'NN'), (u'LandPaths', u'NNP'), (u'hope', u'NN'), (u'to', u'TO'), (u'build', u'VB'), (u'support', u'NN'), (u'by', u'IN'), (u'reintroducing', u'VBG'), (u'parks', u'NNS'), (u'to', u'TO'), (u'local', u'JJ'), (u'communities', u'NNS'), (u'in', u'IN'), (u'places', u'NNS'), (u'like', u'IN'), (u'Annadel', u'NNP'), (u'State', u'NNP'), (u'Park', u'NNP'), (u'.', u'.')]",0
21,13661,8,"[(u'``', u'``'), (u'We', u'PRP'), (u""'d"", u'MD'), (u'start', u'VB'), (u'by', u'IN'), (u'bringing', u'VBG'), (u'out', u'RP'), (u'kids', u'NNS'), (u'from', u'IN'), (u'every', u'DT'), (u'single', u'JJ'), (u'school', u'NN'), (u'in', u'IN'), (u'Santa', u'NNP'), (u'Rosa', u'NNP'), (u'within', u'IN'), (u'walking', u'VBG'), (u'distance', u'NN'), (u',', u','), (u""''"", u""''""), (u'said', u'VBD'), (u'LandPaths', u'NNP'), (u""'"", u'POS'), (u'executive', u'JJ'), (u'director', u'NN'), (u'Craig', u'NNP'), (u'Anderson', u'NNP'), (u'.', u'.')]",1
22,13661,8,"[(u'``', u'``'), (u'We', u'PRP'), (u""'d"", u'MD'), (u'see', u'VB'), (u'if', u'IN'), (u'senior', u'JJ'), (u'communities', u'NNS'), (u'could', u'MD'), (u'have', u'VB'), (u'picnics', u'NNS'), (u'at', u'IN'), (u'the', u'DT'), (u'trailhead', u'NN'), (u'.', u'.')]",1
23,13661,8,"[(u'We', u'PRP'), (u""'d"", u'MD'), (u'see', u'VB'), (u'if', u'IN'), (u'we', u'PRP'), (u'could', u'MD'), (u'entice', u'VB'), (u'the', u'DT'), (u'30-somethings', u'NNS'), (u'with', u'IN'), (u'something', u'NN'), (u'kind', u'NN'), (u'of', u'IN'), (u'edgy', u'JJ'), (u'and', u'CC'), (u'fresh', u'JJ'), (u'.', u'.'), (u""''"", u""''"")]",1
24,13661,9,"[(u'The', u'DT'), (u'Napa', u'NNP'), (u'County', u'NNP'), (u'parks', u'NNS'), (u'department', u'NN'), (u'has', u'VBZ'), (u'suggested', u'VBN'), (u'pooling', u'VBG'), (u'government', u'NN'), (u'resources', u'NNS'), (u'to', u'TO'), (u'run', u'VB'), (u'parks', u'NNS'), (u'more', u'RBR'), (u'efficiently', u'RB'), (u'.', u'.')]",0
25,13661,9,"[(u'For', u'IN'), (u'example', u'NN'), (u',', u','), (u'the', u'DT'), (u'county', u'NN'), (u'sheriff', u'NN'), (u'might', u'MD'), (u'set', u'VB'), (u'up', u'RP'), (u'a', u'DT'), (u'substation', u'NN'), (u'on', u'IN'), (u'state', u'NN'), (u'park', u'NN'), (u'land', u'NN'), (u'in', u'IN'), (u'exchange', u'NN'), (u'for', u'IN'), (u'keeping', u'VBG'), (u'an', u'DT'), (u'eye', u'NN'), (u'on', u'IN'), (u'Bothe-Napa', u'NNP'), (u'State', u'NNP'), (u'Park', u'NNP'), (u'.', u'.')]",0
26,13661,9,"[(u'Cities', u'NNS'), (u'and', u'CC'), (u'counties', u'NNS'), (u'have', u'VBP'), (u'also', u'RB'), (u'offered', u'VBN'), (u'to', u'TO'), (u'help', u'VB'), (u'with', u'IN'), (u'trash', u'NN'), (u'pickup', u'NN'), (u'and', u'CC'), (u'other', u'JJ'), (u'services', u'NNS'), (u'on', u'IN'), (u'state', u'NN'), (u'park', u'NN'), (u'lands', u'NNS'), (u'near', u'IN'), (u'facilities', u'NNS'), (u'they', u'PRP'), (u'already', u'RB'), (u'manage', u'VBP'), (u'.', u'.')]",0
27,13661,10,"[(u'The', u'DT'), (u'state', u'NN'), (u'Legislative', u'JJ'), (u'Analyst', u'NN'), (u""'s"", u'POS'), (u'Office', u'NNP'), (u'-LRB-', u'-LRB-'), (u'LAO', u'NNP'), (u'-RRB-', u'-RRB-'), (u'also', u'RB'), (u'had', u'VBD'), (u'efficiency', u'NN'), (u'in', u'IN'), (u'mind', u'NN'), (u'when', u'WRB'), (u'it', u'PRP'), (u'challenged', u'VBD'), (u'a', u'DT'), (u'rule', u'NN'), (u'requiring', u'VBG'), (u'all', u'DT'), (u'state', u'NN'), (u'park', u'NN'), (u'rangers', u'NNS'), (u'to', u'TO'), (u'have', u'VB'), (u'peace-officer', u'NN'), (u'-LRB-', u'-LRB-'), (u'police', u'NN'), (u'-RRB-', u'-RRB-'), (u'training', u'NN'), (u'.', u'.')]",1
28,13661,10,"[(u'As', u'IN'), (u'a', u'DT'), (u'March', u'NNP'), (u'2012', u'CD'), (u'LAO', u'NNP'), (u'report', u'NN'), (u'states', u'NNS'), (u',', u','), (u'``', u'``'), (u'While', u'IN'), (u'some', u'DT'), (u'ranger', u'NN'), (u'duties', u'NNS'), (u',', u','), (u'such', u'JJ'), (u'as', u'IN'), (u'responding', u'VBG'), (u'to', u'TO'), (u'emergencies', u'NNS'), (u'and', u'CC'), (u'making', u'VBG'), (u'arrests', u'NNS'), (u',', u','), (u'require', u'VBP'), (u'peace', u'NN'), (u'officer', u'NN'), (u'status', u'NN'), (u',', u','), (u'many', u'JJ'), (u'of', u'IN'), (u'them', u'PRP'), (u'do', u'VBP'), (u'not', u'RB'), (u'-LRB-', u'-LRB-'), (u'such', u'JJ'), (u'as', u'IN'), (u'managing', u'VBG'), (u'staff', u'NN'), (u',', u','), (u'providing', u'VBG'), (u'information', u'NN'), (u'to', u'TO'), (u'visitors', u'NNS'), (u',', u','), (u'and', u'CC'), (u'leading', u'VBG'), (u'school', u'NN'), (u'groups', u'NNS'), (u'on', u'IN'), (u'tours', u'NNS'), (u'-RRB-', u'-RRB-'), (u'.', u'.'), (u""''"", u""''"")]",1
29,13661,10,"[(u'Reducing', u'VBG'), (u'the', u'DT'), (u'number', u'NN'), (u'of', u'IN'), (u'peace', u'NN'), (u'officers', u'NNS'), (u'could', u'MD'), (u'reduce', u'VB'), (u'state', u'NN'), (u'parks', u'NNS'), (u""'"", u'POS'), (u'expenses', u'NNS'), (u'by', u'IN'), (u'at', u'IN'), (u'least', u'JJS'), (u'a', u'DT'), (u'few', u'JJ'), (u'million', u'CD'), (u'dollars', u'NNS'), (u',', u','), (u'the', u'DT'), (u'report', u'NN'), (u'said', u'VBD'), (u'.', u'.')]",1
